Grupo;Actividad;Pesos
meta;;
ASCENSORES;;6,00%
VENTANERIA;;15,00%
PUERTAS METALICAS DE ACCESO;;15,00%
PUERTAS CORTA FUEGO;;15,00%
RED CONTRA INCENDIO;;6,00%
RED DE GAS;;6,00%
RED HIDROSANITARIA (M.O);;10,00%
M.O ESTRUCTURA;;5,00%
M.O ENCHAPES Y PISOS;;5,00%
M.O MAMPOSTERIA Y PAÑETES;;5,00%
M.O SUBESTRUCTURA;;5,00%
M.O ESTUCO Y PINTURA;;5,00%
SHUT BASURAS;;2,00%
SUBESTRUCTURA;ESTN - M.O Dados;10%
SUBESTRUCTURA;ESTN - M.O Excavación Manual 0-2m Cimentación;5%
SUBESTRUCTURA;ESTN - M.O LLeno manual Material de excavación Cimentación;5%
SUBESTRUCTURA;ESTN- M.O Losa Contrapiso e: 0.10 a 0.15 m;15%
SUBESTRUCTURA;ESTN - M.O Instalación de acero - Cimentacion;25%
SUBESTRUCTURA;ESTN - M.O Instalacion malla electrosoldada - Cimentación;
SUBESTRUCTURA;ESTN - M.O Muro de Contención;20%
SUBESTRUCTURA;ESTN - M.O Solado e=0.05m;10%
SUBESTRUCTURA;ESTN - M.O Viga Cimentación;10%
ESTRUCTURA;ESTN - M.O. Columna Rectangular;5%
ESTRUCTURA;ESTN - M.O Escalera x m3 - Sin Acabados;5%
ESTRUCTURA;M.O escalera x unidad;5%
ESTRUCTURA;ESTN - M.O Losa aligerada de 0.40 m a 0.70 m con torta superior de 0.06 m a 0.10m;15%
ESTRUCTURA;ESTN - M.O Losa Aerea Maciza e= 0.15 m;10%
ESTRUCTURA;ESTN - M.O Losa Aerea Maciza e= 0.15 m;10%
ESTRUCTURA;ESTN - M.O Losa Maciza e=0.10 m;15%
ESTRUCTURA;ESTN - M.O Instalación de acero - Estructura;25%
ESTRUCTURA;ESTN - M.O Instalacion malla electrosoldada - Estructura;
ESTRUCTURA;ESTN - M.O muros en concreto;10%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Anclaje Epoxico;15%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Grouting;15%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Muro Bloque Cemento Interno 10x20x40;10%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Muro Bloque Cemento Interno 15x20x40;10%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Muro Ladrillo Interno 10x20x40;8%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Muro Ladrillo Interno 12x20x40;8%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Muro Ladrillo Interno 20x20x40;8%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Revoques Muros Fachada;8%
MAMPOSTERIA Y PAÑETES;ESTN - M.O Revoques Muros Internos;8%
MAMPOSTERIA Y PAÑETES;ESTN - Muro fachada en ladrillo a la vista esp=15 cm;8%
ENCHAPES Y PISOS;ESTN - M.O Colocación de Mortero en Piso e = 0,05 m;20%
ENCHAPES Y PISOS;ESTN - M.O Enchape Ceramico de 19x19 cm hasta 61x61 cm;30%
ENCHAPES Y PISOS;ESTN - M.O Zocalo en Ceramica entre h= 8 cm a 15 cm;5%
ENCHAPES Y PISOS;ESTN - M.O Colocación Enchape Porcelanato desde 30 x 60 hasta 60 x 60;10%
ENCHAPES Y PISOS;ESTN - M.O Colocación de Mortero Impermeable Baños e= 0.5 m;
ENCHAPES Y PISOS;ESTN - M.O Colocación Tableta Gres 7x 25 cm;10%
ENCHAPES Y PISOS;ESTN - M.O Zócalo Tipo Gres entre h= 8 cm a 15 cm;2,50%
ENCHAPES Y PISOS;ESTN - M.O Zocalo en Porcelanato h= 8 cm a 15 cm;2,50%
ENCHAPES Y PISOS;ESTN - M.O Revoques Muros Internos Enchape ducha;10%
ENCHAPES Y PISOS;ESTN - M.O Colocación de Mortero en Piso e = 0,05 m - 0.08 M;5%
ENCHAPES Y PISOS;ESTN - M.O Colocación de Mortero Impermeable Baños e= 0.05 m - 0.08 M;5%
ENCHAPES Y PISOS;ESTN - M.O Enchape Ceramico hasta 18.9 x 18.9 cm;
ESTUCO Y PINTURA;ESTN - Estuco sobre Revoque Muro (Interiores);10%
ESTUCO Y PINTURA;ESTN - Pintura Graniplas sobre Muros Internos;15%
ESTUCO Y PINTURA;ESTN - Vinilo 3 manos Muros externos;20%
ESTUCO Y PINTURA;ESTN - Argamasa Sobre Muro (Interiores);10%
ESTUCO Y PINTURA;ESTN - Estuco sobre Revoque Muro (Exteriores);5%
ESTUCO Y PINTURA;ESTN - Pintura Graniplas sobre Muros Fachada;15%
ESTUCO Y PINTURA;ESTN - Vinilo 3 manos Muros Internos;20%
ESTUCO Y PINTURA;ESTN - Argamasa Sobre Muro (Exteriores);5%
